"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2019-02-06 16:47:57","16:47","Bátor tábor","-500.00","HUF","1.0000000000","Others","Donation sent","Cash","","","None"
"Expense","2019-02-05 08:57:09","08:57","Lakbér","-65000.00","HUF","1.0000000000","Flat - FLT","FLT-Rent","Cash","","","None"
"Transfer","2019-02-02 20:39:48","20:39","Készpénzfelvétel","-90000.00","HUF","1.0000000000","(Átvezetés)","(Átvezetés)","Unicredit","18.12.29 12:48 OTP BUDAPEST BP09 BAKATS TER 9. HU Sikeres Kp.felvet: 50000 Ft Egyenleg: 434602 Ft Kartya: SZABO VIKTOR -UniCredit","","None"
"Transfer","2019-02-02 20:39:48","20:39","Készpénzfelvétel","90000.00","HUF","1.0000000000","(Átvezetés)","(Átvezetés)","Cash","18.12.29 12:48 OTP BUDAPEST BP09 BAKATS TER 9. HU Sikeres Kp.felvet: 50000 Ft Egyenleg: 434602 Ft Kartya: SZABO VIKTOR -UniCredit","","None"
"Expense","2019-02-02 18:16:08","18:16","Randy","-77830.00","HUF","1.0000000000","Others","Donation sent","Cash","","","None"
"Transfer","2019-01-31 21:47:39","21:47","Készpénzfelvétel","-10000.00","HUF","1.0000000000","(Átvezetés)","(Átvezetés)","Unicredit","18.12.29 12:48 OTP BUDAPEST BP09 BAKATS TER 9. HU Sikeres Kp.felvet: 50000 Ft Egyenleg: 434602 Ft Kartya: SZABO VIKTOR -UniCredit","","None"
"Transfer","2019-01-31 21:47:39","21:47","Készpénzfelvétel","10000.00","HUF","1.0000000000","(Átvezetés)","(Átvezetés)","Cash","18.12.29 12:48 OTP BUDAPEST BP09 BAKATS TER 9. HU Sikeres Kp.felvet: 50000 Ft Egyenleg: 434602 Ft Kartya: SZABO VIKTOR -UniCredit","","None"
"Expense","2019-01-25 19:06:03","19:06","Has leszorító öv","2000.00","HUF","1.0000000000","Clothes - CLT","CLT-Second hand","Cash","","","None"
"Income","2019-01-25 08:10:59","08:10","Morgan Stanley","432250.00","HUF","1.0000000000","Munkáltató","Payment-V","Unicredit","Az Ön 000 szàmlàjàn 2019.01.25 napon 432,250 Ft jovàiràs történt. Küldö: Morgan Stanley Magyarorszàg Elemzö Egyenleg: 444,153 Ft -UniCredit Bank","","None"
"Expense","2019-01-23 13:23:10","13:23","Aldi","-3671.00","HUF","1.0000000000","Food - FOOD","FOOD-Groceries","Unicredit","18.12.07 19:19 ALDI 64.SZ. BUDAPEST HU Sikeres Vasarlas: 1366 Ft Egyenleg: 117406 Ft Kartya: SZABO VIKTOR -UniCredit","","None"
"Expense","2019-01-23 09:29:29","09:29","Gyógyszer","-1820.00","HUF","1.0000000000","Health - HLT","HLT-Pharmacy","Unicredit","19.01.23 08:51 FAGYO:NGY PATIKA BUDAPEST HU Sikeres Vasarlas: 1820 Ft Egyenleg: 16379 Ft Kartya: SZABO VIKTOR -UniCredit","","None"
"Expense","2019-01-21 13:22:48","13:22","Aldi","-3456.00","HUF","1.0000000000","Food - FOOD","FOOD-Groceries","Unicredit","18.12.07 19:19 ALDI 64.SZ. BUDAPEST HU Sikeres Vasarlas: 1366 Ft Egyenleg: 117406 Ft Kartya: SZABO VIKTOR -UniCredit","","None"
